date,value
Tue Mar 13 2018 17:49:52 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:54 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:53 GMT-0500 (EST),478
Tue Mar 13 2018 17:49:53 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:54 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:55 GMT-0500 (EST),478
Tue Mar 13 2018 17:49:55 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:56 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:56 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:57 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:57 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:59 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:58 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:58 GMT-0500 (EST),477
Tue Mar 13 2018 17:49:59 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:00 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:00 GMT-0500 (EST),478
Tue Mar 13 2018 17:50:01 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:01 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:02 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:02 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:03 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:03 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:04 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:04 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:05 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:05 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:06 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:06 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:07 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:07 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:08 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:08 GMT-0500 (EST),478
Tue Mar 13 2018 17:50:09 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:09 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:10 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:10 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:11 GMT-0500 (EST),478
Tue Mar 13 2018 17:50:11 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:12 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:12 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:13 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:13 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:14 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:14 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:15 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:15 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:16 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:16 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:17 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:17 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:18 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:18 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:19 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:19 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:20 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:20 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:22 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:21 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:21 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:22 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:23 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:23 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:24 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:24 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:25 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:27 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:25 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:26 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:26 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:27 GMT-0500 (EST),477
